_id,Nombre de la presa,Latitud,Longitud,Altitud,Estado,Municipio,Cuenca de disponibilidad,Región hidrológica,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
665117fa22e03d3d869c0ca7,"La Golondrina, Gto.",20.439167,-101.7425,1939,Guanajuato,Pénjamo,Río Lerma 5,Lerma Santiago,2216.1,47.386,2214.1,39.914,2209.25,23.189,58
665117fa22e03d3d869c0ca8,"Mariano Abasolo, Gto.",20.507222,-101.931111,1740,Guanajuato,Pénjamo,Río Lerma 6,Lerma Santiago,2594.46,81.029,2592.02,59.966,2587.62,31.055,52
665117fa22e03d3d869c0ca9,"Ignacio Allende, Gto.",20.848056,-100.825833,1820,Guanajuato,San Miguel de Allende,Río La Laja 1,Lerma Santiago,2475.5,18.5,2474,16.8,2456.66,3.23,19
665117fa22e03d3d869c0caa,"Laguna de Yuriria, Gto.",20.286944,-101.073056,1736,Guanajuato,Yuriria,Río Lerma 4,Lerma Santiago,2385.09,8.7,2384.39,7.686,2378,0.302,4
665117fa22e03d3d869c0cab,"Andrés Figueroa, Gro.",18.075833,-100.5175,387,Guerrero,Ajuchitlán del Progreso,Río Medio Balsas,Balsas,2346.04,17.964,2332.5,7.13,2331.28,6.523,91
665117fa22e03d3d869c0cac,"Vicente Guerrero, Gro.",18.382778,-100.265833,0,Guerrero,Arcelia,Río Medio Balsas,Balsas,2550.48,36.3,2548.44,20.227,2545.78,6.454,32
665117fa22e03d3d869c0cad,"Revolución Mexicana, Gro.",16.823611,-99.166111,80,Guerrero,Ayutla de los Libres,Río Nexpa 1,Costa Chica de Guerrero,2697.8,12.32,2696.7,9.93,2690.94,1.725,17
665117fa22e03d3d869c0cae,"El Gallo, Gro.",18.703056,-100.671111,400,Guerrero,Cutzamala de Pinzón,Río Medio Balsas,Balsas,2455.13,32.67,2454,31.046,2442.44,3.889,13
665117fa22e03d3d869c0caf,"Ing. Carlos Ramírez Ulloa, Gro.",17.947778,-99.995556,513,Guerrero,General Heliodoro Castillo,Río Medio Balsas,Balsas,2352.54,12.599,2352.1,12.111,2341.81,4.167,34
665117fa22e03d3d869c0cb0,"Laguna de Tuxpan, Gro.",18.363333,-99.503056,20,Guerrero,Iguala de la Independencia,Río Medio Balsas,Balsas,1898.7,1214.14,1892.54,800,1885.96,450.82,56
665117fa22e03d3d869c0cb1,"Valerio Trujano, Gro.",18.295833,-99.466111,842,Guerrero,Tepecoacuilco de Trujano,Río Medio Balsas,Balsas,2209.15,2.371,2207.75,1.857,2200.64,0.131,7
665117fa22e03d3d869c0cb2,"La Calera, Gro.",18.418611,-101.003056,239,Guerrero,Zirándaro,Río Bajo Balsas,Balsas,1833.33,241.41,1828.75,125.12,1821.02,22.614,18
665117fa22e03d3d869c0cb3,"Javier Rojo Gómez, Hgo.",20.359722,-99.329444,1860,Hidalgo,Alfajayucan,Río Alfajayucan,Pánuco,1837.12,5.97,1835.2,4.67,1823.75,0.538,12
665117fa22e03d3d869c0cb4,"Vicente Aguirre, Hgo.",20.435556,-99.375833,1870,Hidalgo,Alfajayucan,Río Alfajayucan,Pánuco,1838.6,17.161,1836.15,9.643,1829.67,0,0
665117fa22e03d3d869c0cb5,"La Esperanza, Hgo.",20.0575,-98.334722,2210,Hidalgo,Cuautepec de Hinojosa,Río Grande de Tulancingo,Pánuco,1860.7,181.926,1853.47,110,1843.72,42.712,39
665117fa22e03d3d869c0cb6,"Endhó, Hgo.",20.163889,-99.36,2048,Hidalgo,Tepetitlán,Río Tula,Pánuco,1907.29,30.169,1904.7,17.46,1895.5,0,0
665117fa22e03d3d869c0cb7,"Requena, Hgo.",19.963056,-99.310833,2109,Hidalgo,Tula de Allende,Presa Endhó,Pánuco,1753.08,23.946,1751.3,20.079,1744.39,8.377,42
665117fa22e03d3d869c0cb8,"Ing. Fernando Hiriart Balderrama, Hgo.",20.663333,-99.501111,1813,Hidalgo,Zimapán,Embalse Zimapán,Pánuco,1731.4,325.195,1730.92,278.79,1726.08,0.175,0
665117fa22e03d3d869c0cb9,"La Red, Jal.",20.718889,-102.815278,1758,Jalisco,Acatic,Río Santiago 1,Lerma Santiago,382.61,133.029,377,102.5,359.33,40.592,40
